StartTime,EndTime,MainCategory
2016-12-03 13:58:43.900000-06:00,2016-12-03 13:58:47.800000-06:00,FeedingDominantHand
2016-12-03 13:59:45.700000-06:00,2016-12-03 13:59:47.300000-06:00,FeedingDominantHand
2016-12-03 13:59:53.300000-06:00,2016-12-03 13:59:56.900000-06:00,FeedingDominantHand
2016-12-03 13:59:58.400000-06:00,2016-12-03 14:00:01-06:00,FeedingDominantHand
2016-12-03 14:00:01.500000-06:00,2016-12-03 14:00:08.300000-06:00,FeedingDominantHand
2016-12-03 14:00:45.600000-06:00,2016-12-03 14:00:49.800000-06:00,FeedingDominantHand
2016-12-03 14:01:07.500000-06:00,2016-12-03 14:01:11.300000-06:00,FeedingDominantHand
2016-12-03 14:01:21.300000-06:00,2016-12-03 14:01:24.100000-06:00,FeedingDominantHand
2016-12-03 14:01:30.400000-06:00,2016-12-03 14:01:34.400000-06:00,FeedingDominantHand
2016-12-03 14:01:49.500000-06:00,2016-12-03 14:01:53.700000-06:00,FeedingDominantHand
2016-12-03 14:02:13.600000-06:00,2016-12-03 14:02:16.700000-06:00,FeedingDominantHand
2016-12-03 14:02:30.400000-06:00,2016-12-03 14:02:33.900000-06:00,FeedingDominantHand
2016-12-03 14:03:15.300000-06:00,2016-12-03 14:03:19.400000-06:00,FeedingDominantHand
2016-12-03 14:03:41.700000-06:00,2016-12-03 14:03:46.500000-06:00,FeedingDominantHand
2016-12-03 14:03:57.900000-06:00,2016-12-03 14:04:02.600000-06:00,FeedingDominantHand
2016-12-03 14:04:35.500000-06:00,2016-12-03 14:04:39.700000-06:00,FeedingDominantHand
2016-12-03 14:04:39.500000-06:00,2016-12-03 14:04:42.300000-06:00,FeedingDominantHand
2016-12-03 14:05:09.100000-06:00,2016-12-03 14:05:12.900000-06:00,FeedingDominantHand
2016-12-03 14:02:01.700000-06:00,2016-12-03 14:02:07.700000-06:00,FeedingDominantHand
2016-12-03 14:05:27.100000-06:00,2016-12-03 14:05:30.100000-06:00,FeedingNonDominantHand
2016-12-03 14:05:42.800000-06:00,2016-12-03 14:05:46.700000-06:00,FeedingNonDominantHand
2016-12-03 14:05:48.900000-06:00,2016-12-03 14:05:51.400000-06:00,FeedingDominantHand
2016-12-03 14:05:51.400000-06:00,2016-12-03 14:05:54.100000-06:00,FeedingDominantHand
2016-12-03 14:06:29.100000-06:00,2016-12-03 14:06:33.700000-06:00,FeedingDominantHand
2016-12-03 14:07:19.500000-06:00,2016-12-03 14:07:23.600000-06:00,FeedingDominantHand
2016-12-03 14:07:48.200000-06:00,2016-12-03 14:07:51.700000-06:00,FeedingDominantHand
2016-12-03 14:08:23.900000-06:00,2016-12-03 14:08:27.400000-06:00,FeedingDominantHand
