StartTime,EndTime,MainCategory
2017-03-05 10:12:23.500000,2017-03-05 10:12:27.800000,FeedingDominantHand
2017-03-05 10:13:49,2017-03-05 10:13:52,FeedingDominantHand
2017-03-05 10:14:56.500000,2017-03-05 10:15:00.600000,FeedingNonDominantHand
2017-03-05 10:16:16.300000,2017-03-05 10:16:21.300000,DrinkingDominantHand
2017-03-05 10:16:22.900000,2017-03-05 10:16:28.500000,DrinkingDominantHand
2017-03-05 10:16:41.100000,2017-03-05 10:16:44.900000,DrinkingDominantHand
2017-03-05 10:17:32.800000,2017-03-05 10:17:39,FeedingDominantHand
2017-03-05 10:18:10.700000,2017-03-05 10:18:14.500000,FeedingDominantHand
2017-03-05 10:26:40.300000,2017-03-05 10:26:47,DrinkingDominantHand
2017-03-05 10:28:02.500000,2017-03-05 10:28:19.500000,DrinkingDominantHand
2017-03-05 10:46:55.500000,2017-03-05 10:47:00.200000,DrinkingDominantHand
2017-03-05 10:47:06.500000,2017-03-05 10:47:11.600000,DrinkingDominantHand
2017-03-05 10:47:19.200000,2017-03-05 10:47:22.700000,DrinkingDominantHand
2017-03-05 12:43:30.400000,2017-03-05 12:43:35.400000,FeedingDominantHand
2017-03-05 12:43:57.300000,2017-03-05 12:44:01.600000,FeedingDominantHand
2017-03-05 12:44:48.200000,2017-03-05 12:44:50.100000,FeedingDominantHand
2017-03-05 12:45:21.100000,2017-03-05 12:45:23,FeedingDominantHand
2017-03-05 12:45:23.300000,2017-03-05 12:45:25.100000,FeedingDominantHand
2017-03-05 12:45:36.600000,2017-03-05 12:45:39.600000,FeedingDominantHand
2017-03-05 12:45:44.100000,2017-03-05 12:45:47.100000,FeedingDominantHand
