StartTime,EndTime,MainCategory
2016-10-21 11:41:59.400000-05:00,2016-10-21 11:42:07-05:00,DrinkingNonDominantHand
2016-10-21 11:42:50.200000-05:00,2016-10-21 11:42:57.300000-05:00,FeedingDominantHand
2016-10-21 11:43:13.700000-05:00,2016-10-21 11:43:15.300000-05:00,FeedingDominantHand
2016-10-21 11:43:17.300000-05:00,2016-10-21 11:43:22.600000-05:00,FeedingDominantHand
2016-10-21 11:43:49.400000-05:00,2016-10-21 11:43:56-05:00,FeedingDominantHand
2016-10-21 11:44:08.700000-05:00,2016-10-21 11:44:15-05:00,FeedingDominantHand
2016-10-21 11:44:40.300000-05:00,2016-10-21 11:44:43.500000-05:00,FeedingDominantHand
2016-10-21 11:44:59.300000-05:00,2016-10-21 11:45:04.300000-05:00,FeedingDominantHand
2016-10-21 11:45:40.600000-05:00,2016-10-21 11:45:46.800000-05:00,FeedingDominantHand
2016-10-21 11:46:13.600000-05:00,2016-10-21 11:46:18.400000-05:00,FeedingDominantHand
2016-10-21 11:46:31.600000-05:00,2016-10-21 11:46:35.400000-05:00,FeedingDominantHand
2016-10-21 11:46:40.800000-05:00,2016-10-21 11:46:46.100000-05:00,FeedingDominantHand
2016-10-21 11:46:57.300000-05:00,2016-10-21 11:46:59-05:00,FeedingDominantHand
2016-10-21 11:47:03.800000-05:00,2016-10-21 11:47:07-05:00,FeedingDominantHand
2016-10-21 11:47:15-05:00,2016-10-21 11:47:18-05:00,FeedingDominantHand
2016-10-21 11:47:33-05:00,2016-10-21 11:47:36.200000-05:00,FeedingNonDominantHand
2016-10-21 11:47:42.800000-05:00,2016-10-21 11:47:46.300000-05:00,FeedingDominantHand
2016-10-21 11:48:22.400000-05:00,2016-10-21 11:48:26.800000-05:00,DrinkingNonDominantHand
2016-10-21 11:48:42.600000-05:00,2016-10-21 11:48:47.800000-05:00,FeedingDominantHand
2016-10-21 11:49:00.400000-05:00,2016-10-21 11:49:05.500000-05:00,DrinkingNonDominantHand
2016-10-21 11:49:12.300000-05:00,2016-10-21 11:49:16.700000-05:00,FeedingDominantHand
2016-10-21 11:49:31.700000-05:00,2016-10-21 11:49:38.100000-05:00,FeedingDominantHand
2016-10-21 11:50:24.600000-05:00,2016-10-21 11:50:30.900000-05:00,FeedingDominantHand
2016-10-21 11:50:47.300000-05:00,2016-10-21 11:50:50.500000-05:00,DrinkingNonDominantHand
2016-10-21 11:51:01.200000-05:00,2016-10-21 11:51:08-05:00,FeedingDominantHand
2016-10-21 11:51:23-05:00,2016-10-21 11:51:28.900000-05:00,FeedingDominantHand
2016-10-21 11:51:53.100000-05:00,2016-10-21 11:51:57.900000-05:00,DrinkingNonDominantHand
2016-10-21 11:53:03.600000-05:00,2016-10-21 11:53:09.700000-05:00,FeedingNonDominantHand
2016-10-21 11:53:41.100000-05:00,2016-10-21 11:53:45.700000-05:00,FeedingDominantHand
2016-10-21 11:53:58.400000-05:00,2016-10-21 11:54:03.600000-05:00,FeedingDominantHand
2016-10-21 11:54:22.400000-05:00,2016-10-21 11:54:26.600000-05:00,FeedingDominantHand
2016-10-21 11:54:38.400000-05:00,2016-10-21 11:54:41.400000-05:00,FeedingDominantHand
2016-10-21 11:55:08.600000-05:00,2016-10-21 11:55:12.500000-05:00,FeedingDominantHand
2016-10-21 11:55:23.200000-05:00,2016-10-21 11:55:28.600000-05:00,FeedingDominantHand
2016-10-21 11:55:39-05:00,2016-10-21 11:55:41.600000-05:00,FeedingDominantHand
2016-10-21 11:55:54.100000-05:00,2016-10-21 11:56:01-05:00,FeedingNonDominantHand
2016-10-21 11:56:11.800000-05:00,2016-10-21 11:56:14.400000-05:00,FeedingNonDominantHand
2016-10-21 11:56:57.800000-05:00,2016-10-21 11:57:02.200000-05:00,DrinkingNonDominantHand
2016-10-21 11:57:44.700000-05:00,2016-10-21 11:57:50.400000-05:00,DrinkingNonDominantHand
