StartTime,EndTime,MainCategory
2016-10-22 11:24:50.400000,2016-10-22 11:24:53.200000,FeedingDominantHand
2016-10-22 11:25:03.500000,2016-10-22 11:25:05.600000,FeedingDominantHand
2016-10-22 11:25:20.300000,2016-10-22 11:25:23.100000,FeedingDominantHand
2016-10-22 11:26:19.800000,2016-10-22 11:26:22.900000,FeedingDominantHand
2016-10-22 11:26:29.600000,2016-10-22 11:26:31.400000,FeedingDominantHand
2016-10-22 11:26:41.300000,2016-10-22 11:26:43.400000,FeedingDominantHand
2016-10-22 11:26:50.500000,2016-10-22 11:26:53.500000,FeedingDominantHand
2016-10-22 11:27:02.700000,2016-10-22 11:27:02.700000,FeedingDominantHand
2016-10-22 11:27:17.900000,2016-10-22 11:27:21,FeedingDominantHand
2016-10-22 11:44:29.500000,2016-10-22 11:44:32.600000,DrinkingDominantHand
2016-10-22 11:44:36.500000,2016-10-22 11:44:38.800000,DrinkingDominantHand
2016-10-22 11:44:41.100000,2016-10-22 11:44:42.900000,DrinkingDominantHand
2016-10-22 11:45:12.800000,2016-10-22 11:45:15.300000,DrinkingDominantHand
2016-10-22 11:45:39.800000,2016-10-22 11:45:42.400000,DrinkingDominantHand
